domain	phylum	class	order	family	genus	species	tax_id	tax_level	Aagaard.1084	Aagaard.1143	Aagaard.1195	Aagaard.1603	Aagaard.3482	Aagaard.385	Aagaard.3908	Aagaard.4130	Aagaard.4804	Aagaard.536	Aagaard.6347	Aagaard.6890	Aagaard.7260	Aagaard.7830	Aagaard.KitNeg
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. M4U3P1	2592382	S	0	0	0	0	3790	1054	1165	0	0	0	1435	0	0	0	0
Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus	1280	S	0	0	0	0	0	31	0	0	36	0	0	68	0	0	972
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter xylosoxidans	85698	S	81	73	61	82	67	85	74	56	43	91	72	56	51	44	56
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	562	S	124	0	0	0	0	80	0	0	0	0	0	170	90	95	39
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella grimontii	2058152	S	24	0	26	0	37	32	0	35	18	25	22	69	0	0	0
Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Mannheimia	Mannheimia haemolytica	75985	S	0	0	0	0	0	0	0	64	0	0	0	64	0	69	0
Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus cohnii	29382	S	2	5	3	3	0	6	4	7	7	11	7	2	4	4	82
Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium breve	1685	S	0	0	0	0	0	0	0	1	0	0	0	0	0	112	0
Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas tolaasii	29442	S	4	13	15	15	3	10	3	7	7	0	12	10	3	3	0
Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa	287	S	0	22	0	26	0	16	0	0	0	0	21	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium acnes	1747	S	6	3	6	1	2	0	1	0	2	2	7	26	2	1	15
Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pneumoniae	1313	S	0	0	28	0	0	0	9	9	0	0	0	9	0	0	0
