Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
Aagaard.1084.trim_1	Aagaard.1084.trim_1.fastq	Conventional base calls	Sanger / Illumina 1.9	16048200.0	0.0	20-101	41.0	96.03833559143574	97.56288156927256	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
Aagaard.1084.trim_2	Aagaard.1084.trim_2.fastq	Conventional base calls	Sanger / Illumina 1.9	16048200.0	0.0	20-101	41.0	96.00724716643055	97.2189480440174	pass	pass	warn	pass	pass	warn	pass	warn	pass	pass	pass
Aagaard.1143.trim_1	Aagaard.1143.trim_1.fastq	Conventional base calls	Sanger / Illumina 1.9	15493425.0	0.0	20-101	41.0	95.98802194743699	97.45197165894565	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
Aagaard.1143.trim_2	Aagaard.1143.trim_2.fastq	Conventional base calls	Sanger / Illumina 1.9	15493425.0	0.0	20-101	41.0	95.95238745325031	97.15094887024657	pass	pass	warn	pass	pass	warn	pass	warn	pass	pass	pass
Aagaard.1195.trim_1	Aagaard.1195.trim_1.fastq	Conventional base calls	Sanger / Illumina 1.9	13233468.0	0.0	20-101	41.0	96.13683412189212	97.563959500261	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
Aagaard.1195.trim_2	Aagaard.1195.trim_2.fastq	Conventional base calls	Sanger / Illumina 1.9	13233468.0	0.0	20-101	41.0	96.14334788543266	97.26030183471181	pass	pass	warn	pass	pass	warn	pass	warn	pass	pass	pass
Aagaard.1603.trim_1	Aagaard.1603.trim_1.fastq	Conventional base calls	Sanger / Illumina 1.9	13910873.0	0.0	20-101	41.0	95.93552851209431	97.36734164706989	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
Aagaard.1603.trim_2	Aagaard.1603.trim_2.fastq	Conventional base calls	Sanger / Illumina 1.9	13910873.0	0.0	20-101	41.0	95.88888570857843	97.11151787526204	pass	pass	warn	pass	pass	warn	pass	warn	pass	pass	pass
Aagaard.3482.trim_1	Aagaard.3482.trim_1.fastq	Conventional base calls	Sanger / Illumina 1.9	14416600.0	0.0	20-101	40.0	96.08777187185295	97.43503183829752	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
Aagaard.3482.trim_2	Aagaard.3482.trim_2.fastq	Conventional base calls	Sanger / Illumina 1.9	14416600.0	0.0	20-101	40.0	96.08399848807801	97.12036208259923	pass	pass	warn	pass	pass	warn	pass	warn	pass	pass	pass
Aagaard.385.trim_1	Aagaard.385.trim_1.fastq	Conventional base calls	Sanger / Illumina 1.9	14533173.0	0.0	20-101	41.0	96.20759155544344	97.41178447404431	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
Aagaard.385.trim_2	Aagaard.385.trim_2.fastq	Conventional base calls	Sanger / Illumina 1.9	14533173.0	0.0	20-101	41.0	96.21585759675912	97.13071990541914	pass	pass	warn	pass	pass	warn	pass	warn	pass	pass	pass
Aagaard.3908.trim_1	Aagaard.3908.trim_1.fastq	Conventional base calls	Sanger / Illumina 1.9	15044008.0	0.0	20-101	41.0	96.29029267622798	97.58137272992676	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
Aagaard.3908.trim_2	Aagaard.3908.trim_2.fastq	Conventional base calls	Sanger / Illumina 1.9	15044008.0	0.0	20-101	41.0	96.25472819776148	97.24782305353733	pass	pass	warn	pass	pass	warn	pass	warn	pass	pass	pass
Aagaard.4130.trim_1	Aagaard.4130.trim_1.fastq	Conventional base calls	Sanger / Illumina 1.9	13960956.0	0.0	20-101	41.0	96.19162525712832	97.58135732252147	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
Aagaard.4130.trim_2	Aagaard.4130.trim_2.fastq	Conventional base calls	Sanger / Illumina 1.9	13960956.0	0.0	20-101	41.0	96.18231631200909	97.23110064955438	pass	pass	warn	pass	pass	warn	pass	warn	pass	pass	pass
Aagaard.4804.trim_1	Aagaard.4804.trim_1.fastq	Conventional base calls	Sanger / Illumina 1.9	13387835.0	0.0	20-101	40.0	95.8363378507931	97.6023782784894	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
Aagaard.4804.trim_2	Aagaard.4804.trim_2.fastq	Conventional base calls	Sanger / Illumina 1.9	13387835.0	0.0	20-101	40.0	95.70908402047911	97.18735000842183	pass	pass	warn	pass	pass	warn	pass	warn	pass	pass	pass
Aagaard.536.trim_1	Aagaard.536.trim_1.fastq	Conventional base calls	Sanger / Illumina 1.9	14321743.0	0.0	20-101	41.0	96.41148096765419	97.51896972316847	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
Aagaard.536.trim_2	Aagaard.536.trim_2.fastq	Conventional base calls	Sanger / Illumina 1.9	14321743.0	0.0	20-101	41.0	96.33301068585894	97.18781673431788	pass	pass	warn	pass	pass	warn	pass	warn	pass	pass	pass
Aagaard.6347.trim_1	Aagaard.6347.trim_1.fastq	Conventional base calls	Sanger / Illumina 1.9	13137836.0	0.0	20-101	41.0	96.31449863904646	97.50712613553709	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
Aagaard.6347.trim_2	Aagaard.6347.trim_2.fastq	Conventional base calls	Sanger / Illumina 1.9	13137836.0	0.0	20-101	41.0	96.33193293784782	97.20824388430485	pass	pass	warn	pass	pass	warn	pass	warn	pass	pass	pass
Aagaard.6890.trim_1	Aagaard.6890.trim_1.fastq	Conventional base calls	Sanger / Illumina 1.9	15659793.0	0.0	20-101	40.0	96.26291128458398	97.63276385581852	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
Aagaard.6890.trim_2	Aagaard.6890.trim_2.fastq	Conventional base calls	Sanger / Illumina 1.9	15659793.0	0.0	20-101	40.0	96.22336306972915	97.25693423916906	pass	pass	warn	pass	pass	warn	pass	warn	pass	pass	pass
Aagaard.7260.trim_1	Aagaard.7260.trim_1.fastq	Conventional base calls	Sanger / Illumina 1.9	14239949.0	0.0	20-101	40.0	96.0656918155907	97.62198825290737	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
Aagaard.7260.trim_2	Aagaard.7260.trim_2.fastq	Conventional base calls	Sanger / Illumina 1.9	14239949.0	0.0	20-101	40.0	96.07157070510637	97.21176515449599	pass	pass	warn	pass	pass	warn	pass	warn	pass	pass	pass
Aagaard.7830.trim_1	Aagaard.7830.trim_1.fastq	Conventional base calls	Sanger / Illumina 1.9	16932106.0	0.0	20-101	40.0	95.68173590357442	97.60097745667314	pass	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass
Aagaard.7830.trim_2	Aagaard.7830.trim_2.fastq	Conventional base calls	Sanger / Illumina 1.9	16932106.0	0.0	20-101	40.0	95.59833281394975	97.25463755069806	pass	pass	warn	pass	pass	warn	pass	warn	pass	pass	pass
Aagaard.Kit.Neg.trim_1	Aagaard.Kit.Neg.trim_1.fastq	Conventional base calls	Sanger / Illumina 1.9	22268.0	0.0	20-101	43.0	99.61379558110292	89.02721393928508	pass	pass	fail	pass	fail	pass	pass	warn	pass	pass	pass
Aagaard.Kit.Neg.trim_2	Aagaard.Kit.Neg.trim_2.fastq	Conventional base calls	Sanger / Illumina 1.9	22268.0	0.0	20-101	43.0	99.95958325848751	80.84345248787498	pass	pass	fail	warn	fail	pass	pass	warn	pass	pass	pass
